Total in C0 1790927 
Total in C1 3404438 
Total in C2 2407685
C_0	C_1	C_2
2606	1388	1906
2607	1391	1908
2608	1396	1911
2611	1398	1915
2614	1405	1919
2616	1406	1922
2621	1408	1926
2623	1411	1928
2626	1412	1931
2634	1413	1936
2636	1414	1939
2647	1417	1940
2651	1418	1950
2654	1420	1951
2659	1421	1954
2661	1422	1957
2663	1426	1962
2666	1428	1970
2667	1429	1971
2668	1431	1972
2671	1433	1974
2672	1434	1976
2681	1441	1978
2682	1442	1982
2685	1444	1983
2692	1446	1985
2693	1447	1987
2696	1449	1989
2697	1450	1990
2699	1455	1994
2702	1457	1997
2705	1458	2000
2706	1466	2001
2710	1473	2006
2712	1474	2013
2713	1475	2015
2715	1481	2018
2716	1484	2021
2721	1487	2022
2723	1491	2026
2724	1494	2029
2738	1496	2030
2742	1498	2037
2745	1500	2040
2748	1501	2043
2749	1502	2045
2750	1506	2047
2759	1507	2050
2761	1508	2052
2770	1509	2053
2771	1510	2055
2774	1511	2056
2780	1513	2060
2781	1515	2068
2787	1516	2070
2788	1522	2072
2793	1523	2073
2794	1524	2074
2796	1528	2076
2802	1534	2077
2811	1538	2080
2821	1540	2083
2834	1542	2087
2837	1543	2102
2838	1548	2105
2842	1552	2106
2848	1553	2109
2849	1554	2111
2854	1555	2112
2855	1556	2115
2856	1563	2119
2861	1569	2120
2862	1570	2121
2867	1572	2130
2884	1573	2133
2887	1574	2135
2897	1575	2136
2898	1576	2140
2899	1578	2142
2902	1584	2146
2904	1585	2154
2906	1587	2155
2912	1590	2157
2913	1591	2158
2919	1593	2168
2935	1599	2173
2944	1601	2174
2955	1603	2176
2960	1604	2177
2963	1606	2178
2964	1607	2181
2966	1609	2190
2967	1610	2192
2972	1611	2198
2973	1612	2199
2974	1614	2200
2976	1617	2207
2993	1622	2208
3000	1624	2210
3001	1625	2213
3008	1628	2214
3018	1629	2217
3019	1631	2218
3022	1633	2220
3025	1637	2224
3030	1641	2225
3034	1648	2227
3042	1649	2228
3044	1652	2239
3046	1655	2247
3047	1656	2249
3050	1657	2254
3052	1660	2260
3053	1663	2261
3054	1666	2262
3055	1668	2263
3060	1669	2264
3065	1670	2267
3068	1671	2277
3070	1673	2278
3074	1675	2283
3081	1677	2285
3089	1678	2288
3094	1679	2294
3097	1682	2295
